min,max,comment
1000000,,"平均的なサラリーマンが約3ヶ月休まず働いてやっと手にする手取りを、たった1週間で超えた。これが勝負で生きる者の現実だ。次のステージへ上がれ。"
-50000,0,"今週は5万円以内の負け。だがこの痛みを忘れるな。アカギはこう言った——「怖いか？　怖いなら賭けるな。怖くないなら、腹を括れ」。来週は腹を括って臨め。"
-50000,0,"失った金でスタバのラテが100杯飲めた。だが金は取り返せる。失った時間と判断力の乱れを取り戻すことの方が急務だ。"
-50000,0,"吉野家の牛丼並盛170杯分を失った週。負けた理由を一つだけ挙げるとしたら何だ？　その答えを来週への唯一の財産にしろ。"
-50000,0,"カイジの名言を思い出せ——「勝てない戦いはしない。これが鉄則だ」。今週勝てない戦いをしなかったか？　正直に振り返れ。"
-50000,0,"映画館なら20本見られた金を失った。だが本物のギャンブラーは負けを消化する速度も違う。引きずるな、分析しろ。"
-50000,0,"ジムの月会費6ヶ月分が消えた週。体を鍛えることは怠らなかったか？　精神と肉体の鍛錬が判断力を支える。"
-50000,0,"失った金でAmazonプライムが3年以上使えた。だが「もったいなかった」と思うより「次に活かす」と決める者だけが生き残る。"
-50000,0,"負けた金は授業料だと思え。ただし同じ理由で負けるなら、それはもう授業料ではなくただの浪費だ。"
-50000,0,"コンビニスイーツ500個分の損失。甘くない現実を今週は突きつけられた。次週、この苦さを力に変えろ。"
-50000,0,"アカギはこう言った——「この世は理不尽だ。だからこそ、自分の頭で考える者だけが生き残れる」。今週の負けを頭で考えたか？"
-100000,-50001,"10万円あれば新品のNintendo Switchが買えた。失った金の重さを物で換算して、リアルに痛みを感じろ。その痛みが来週の集中力になる。"
-100000,-50001,"カイジの名言——「負けることは恥ずかしいことじゃない。負けた理由を直視できないことが恥ずかしい」。今週の敗因から目を逸らすな。"
-100000,-50001,"20代前半の週給相当を失った。若い人間が5日間汗を流して稼ぐ金を1週間で溶かした。この事実を軽く扱うな。"
-100000,-50001,"国内往復の格安航空券が3回分飛べた金額が消えた。逃げ場を失った気分かもしれないが、逃げるより向き合う方が必ず早く立ち直れる。"
-100000,-50001,"アカギはこう言った——「恐怖は正常な感覚だ。その恐怖を飼いならした者だけが、本当の勝負ができる」。今週恐怖に飲まれなかったか？"
-100000,-50001,"ジムに8ヶ月通える金が飛んだ。体を鍛える時間とお金を、今週は別の場所で使ってしまった。来週は自分への投資を守れ。"
-100000,-50001,"10万円あれば一人暮らしの食費が半年以上まかなえた。生活の基盤を支える金の重さを忘れるな。"
-100000,-50001,"カイジの名言——「人は窮地に立たされた時、初めて本当の自分と向き合える」。今週の負けが本当の自分を映している。そこから目を逸らすな。"
-100000,-50001,"居酒屋で友人と10回飲める金が消えた。誰かと話して今週の負けを言語化してみろ。言葉にした瞬間、次の答えが見えてくることがある。"
-100000,-50001,"回転寿司300皿分を失った週。食欲すら満たせない虚しさに似た気分かもしれないが、空腹が人を強くすることもある。来週、飢えた目で臨め。"
-200000,-100001,"20万円あれば20代後半の月給の7割以上だ。サラリーマンが必死に働いて稼ぐ金を1週間で失った重さを、正面から受け止めろ。"
-200000,-100001,"アカギはこう言った——「本当に怖いのは、負け続けることではない。負けに慣れることだ」。今週の負けを「まあこんなもんか」と思った瞬間がなかったか？"
-200000,-100001,"MacBook Airが買えた金が消えた。生産性を上げる道具に変えられた資金だった。次週はその分を取り返す明確な根拠を持って臨め。"
-200000,-100001,"カイジの名言——「運は実力のある者に引き寄せられる。運がないと嘆く前に、実力を磨け」。今週の負けは運か、実力不足か。正直に答えろ。"
-200000,-100001,"国内旅行（いいホテルに1泊2日）5回分が飛んだ。逃げ出したい気持ちは分かる。だが今逃げたら来週も同じことを繰り返す。"
-200000,-100001,"PS5本体とソフト数本が買えた金額を失った。ゲームのやり直しはできるが、現実の勝負にリセットボタンはない。この違いを忘れるな。"
-200000,-100001,"アカギはこう言った——「闘いとは常に死と隣り合わせだ。その緊張感の中でこそ、人間は本当の力を出せる」。来週、その緊張感を取り戻せ。"
-200000,-100001,"エステやマッサージの高級コース5回分を失った。自分の体を労う金まで失ったなら、せめて今週は睡眠と食事だけは守れ。"
-200000,-100001,"20万円あれば証券口座に入れて、長期で育てられる立派な元本だった。失った金は消えたが、失った判断力は取り戻せる。来週取り戻せ。"
-200000,-100001,"30代男性が1ヶ月以上かけて稼ぐ手取りに迫る金額を1週間で失った。この重さを翌週に引きずるか、バネにするかで運命が変わる。"
-300000,-200001,"30代男性の平均月給（約34万円）に迫る金額を1週間で失った。サラリーマンが1ヶ月間通勤し続けて稼ぐ金の重さを、今一度噛み締めろ。"
-300000,-200001,"カイジの名言——「敗北から学ばない者は、永遠に敗北し続ける。敗北は終わりじゃない、始まりだ」。今週の負けを次の始まりにできるか？"
-300000,-200001,"ハワイ旅行（エコノミー往復＋ホテル3泊）がまるごと買えた金額が消えた。現実逃避の旅すら行けなくなった。逃げず、向き合え。"
-300000,-200001,"アカギはこう言った——「勝負の世界に生きるなら、感情を切り離す訓練をしろ。感情で打った手は、必ず後悔する」。今週感情で動いた局面はなかったか？"
-300000,-200001,"TAG Heuerが買えた金を失った。時間は止まらない。この損失と向き合う時間を、次の勝負の設計に使え。"
-300000,-200001,"iPhoneの最新モデルが買えてお釣りがくる金額を失った。連絡手段も失いかねない損失だ。生活を守る最低ラインを来週は絶対に割るな。"
-300000,-200001,"カイジの名言——「諦めは最大の敵だ。諦めた瞬間、その人間の負けが確定する」。今週諦めの感情が頭をよぎった場面はなかったか？"
-300000,-200001,"台湾・韓国旅行が3回行ける金額が飛んだ。逃げ場を探す前に、今の自分の立ち位置を正確に把握しろ。それが次の一手の出発点だ。"
-300000,-200001,"30万円あれば証券口座で分散投資ができる立派な元本だった。失ったものを嘆くより、今残っているものを守る戦略を今すぐ立てろ。"
-300000,-200001,"アカギはこう言った——「本物の強者は、窮地においても判断が揺れない。その揺れなさが、長い勝負で差になる」。来週、揺れない判断を取り戻せ。"
-400000,-300001,"40代男性の平均月給（約40万円）とほぼ同額を1週間で失った。ベテランの社会人が1ヶ月かけて稼ぐ金を1週間で溶かした現実を、直視しろ。"
-400000,-300001,"カイジの名言——「金は命より重い。その重さを理解している者だけが、金を扱う資格を持つ」。今週40万円の重さを感じながら戦っていたか？"
-400000,-300001,"中古の軽自動車（ダイハツミラ等）が買えた金額が消えた。移動の自由まで失いかねない損失だ。次週の動きを慎重に設計しろ。"
-400000,-300001,"アカギはこう言った——「リスクを取らない者に、本物の勝ちは来ない。だがリスクを理解せずに取る者は、ただの博打打ちだ」。今週はどちらだったか？"
-400000,-300001,"有機ELテレビ（55インチ最高級品）が買えた金が飛んだ。見えていたはずの未来が消えた。だが目を閉じる前に、敗因の分析を終わらせろ。"
-400000,-300001,"一人暮らしの家賃が4ヶ月分以上消えた計算だ。住む場所を守る金の重さを改めて認識しろ。生活の守りを固めることが、次の攻めの前提だ。"
-400000,-300001,"カイジの名言——「逃げることは恥ではない。だが逃げてばかりいる者は、いつまでも同じ場所を走り続ける」。逃げずに今週の負けを分析せよ。"
-400000,-300001,"Apple Watch最新モデルとiPadを両方買っても余りある金額を失った。道具すら揃えられない状況だが、頭だけは今すぐ整えろ。"
-400000,-300001,"外貨預金や投資信託に40万円を入れていれば、長期で大きなリターンが期待できた。失った金は戻らないが、時間を味方につける発想は今から始められる。"
-400000,-300001,"アカギはこう言った——「強さとは、どん底から這い上がる力のことだ。下を向くな、上を向け。上にしか道はない」。今週がどん底なら、あとは上しかない。"
-500000,-400001,"大卒初任給2ヶ月分以上を1週間で失った。若者が春夏と2シーズンかけて稼ぐ金が消えた。この重さを体に刻み込め。"
-500000,-400001,"カイジの名言——「50万円は、誰かの半年の生活費だ。その金の重さを知らずに賭けた者は、いつか本当に大切なものを失う」。今週、金の重さを忘れなかったか？"
-500000,-400001,"沖縄5泊リゾートホテルが余裕で行けた金額が消えた。逃げ場すら奪われた気分かもしれないが、逃げても現実は追いかけてくる。向き合え。"
-500000,-400001,"アカギはこう言った——「恐怖に勝てない者は、本物の勝負の場に立つ資格がない。恐怖は敵ではなく、相棒だ。使いこなせ」。来週、恐怖を相棒にして戦え。"
-500000,-400001,"ロレックスの入門モデルが買えた金が飛んだ。本物を手にする夢が今週は遠のいた。だが夢が遠のいた分だけ、執念が増すのが本物のギャンブラーだ。"
-500000,-400001,"一人暮らしの家賃が5ヶ月分以上消えた計算だ。生活の土台が揺らぐ金額だ。軍資金の管理と生活費の分離を、今すぐ徹底しろ。"
-500000,-400001,"カイジの名言——「ギャンブルとは自分との戦いだ。相手に負けたのではなく、自分の弱さに負けたんだ」。今週自分のどの弱さが出たか、一言で答えろ。"
-500000,-400001,"個人年金の年間保険料に相当する金が飛んだ。未来への積立まで失った週だ。過去は変えられない。今から未来だけを設計しろ。"
-500000,-400001,"友人10人を高級焼肉に招待しても余りある金額を失った。誰かと食事を共にする豊かさを取り戻すために、来週を設計しろ。"
-500000,-400001,"アカギはこう言った——「負けを知らない者に、本物の勝ちの価値は分からない。今週の負けが、お前を本物にする試練だ」。試練を乗り越えろ。"
-600000,-500001,"日本人の平均月収（約30万円）の2ヶ月分を1週間で失った。多くの人が60日間毎朝起きて働いて稼ぐ金の重さを、今週1週間で知った。"
-600000,-500001,"カイジの名言——「金は人の本性を映す鏡だ。失った時にこそ、その人間の本当の器が試される」。今週、お前の器はどう映ったか？"
-600000,-500001,"軽自動車の新車（スズキアルト等）がフル装備で買えた金が消えた。新品の自由を失った週だ。次週は「守る」戦略を最優先にしろ。"
-600000,-500001,"アカギはこう言った——「真のギャンブラーは、負けの中にこそ次の勝ちのヒントを見つける。負けを無駄にするな」。今週の60万円の負けから何を見つけたか？"
-600000,-500001,"ブライトリングの入門モデルが買えた金が飛んだ。本物を身につける権利を今週は失った。来週取り返すための具体的な根拠を今すぐ言語化しろ。"
-600000,-500001,"一人暮らしの生活費（家賃・食費・光熱費込み）が半年分消えた計算だ。生存に必要な資金まで侵食されている。損切りの判断基準を今すぐ見直せ。"
-600000,-500001,"カイジの名言——「運命は自分で切り開くものだ。嘆いている時間があるなら、次の一手を考えろ」。今すぐ次の一手を紙に書き出せ。"
-600000,-500001,"FXや株式の口座に入れれば本格的に戦える元本が消えた。ギャンブルと投資の両輪で稼ぐ未来が今週は遠のいた。だが遠のいただけで、消えてはいない。"
-600000,-500001,"高級マッサージチェア（最上位モデル）が買えた金が飛んだ。体を癒す手段まで失った今週、せめて心と頭だけは休息で整えろ。"
-600000,-500001,"アカギはこう言った——「どん底こそが、人間の本当のスタート地点だ。上を向いて歩け。床には何もない」。今週がどん底なら、来週は上しかない。"
-700000,-600001,"日本人男性の平均年収（約550万円）の約13%を1週間で失った。年収換算で3600万円の損失ペースだ。この数字を直視して戦略を根本から見直せ。"
-700000,-600001,"カイジの名言——「70万円は、誰かの人生を変える金だ。それを1週間で失ったなら、人生を変えるのは今この瞬間の決断しかない」。今すぐ決断しろ。"
-700000,-600001,"ビジネスクラスでハワイ往復できた金が消えた。現実逃避の切符すら買えなくなった。だが逃げても何も変わらない。今週の敗因を一つに絞れ。"
-700000,-600001,"アカギはこう言った——「人は追い詰められた時、2つに分かれる。壊れる者と、覚醒する者だ。お前はどちらを選ぶ」。今週の負けで覚醒するか、壊れるか。"
-700000,-600001,"都内の1LDKマンション家賃（約15万円）の4〜5ヶ月分が消えた。住む場所まで守れなくなるリスクが見え始めている。生活防衛ラインを今すぐ引け。"
-700000,-600001,"タグ・ホイヤーやブルガリの上位モデルが買えた金が飛んだ。時を刻む道具を失った週だ。だが時間だけは平等に残っている。使い方で来週を変えろ。"
-700000,-600001,"カイジの名言——「負けた理由を他人や運のせいにする者は、永遠に成長しない。責任は全て自分にある。その覚悟があるか」。責任を取れ。"
-700000,-600001,"iDeCo（個人型確定拠出年金）の年間上限額を超える金が消えた。老後の資産形成に回せた金だった。失った未来の分、今の判断を研ぎ澄ませ。"
-700000,-600001,"国内の名門旅館（1泊5万円クラス）に14泊できた金が飛んだ。最高のもてなしを受ける資格を今週は失った。来週その資格を取り戻す戦略を立てろ。"
-700000,-600001,"アカギはこう言った——「強さとは、何度倒れても立ち上がる力だ。倒れたまま終わる者だけが、本当の敗者だ」。立て。今すぐ立て。"
-800000,-700001,"大卒初任給（約22万円）の約3.5ヶ月分を1週間で失った。新入社員が春から梅雨まで毎日出社して稼ぐ金が消えた。その重さを体で感じろ。"
-800000,-700001,"カイジの名言——「80万円を失った事実より、失った理由を理解しないことの方が、はるかに怖い」。今週なぜ負けたか、3行で説明できるか？"
-800000,-700001,"国産新車（トヨタヤリス等）の頭金として十分な金額が消えた。移動の夢が今週は遠のいた。だが夢を持ち続ける者だけが、いつかそれを手にする。"
-800000,-700001,"アカギはこう言った——「恐れるな。だが慢心するな。この2つを同時に守れる者が、本物の強者だ」。今週どちらかを守れなかったか？"
-800000,-700001,"東京都内の平均的な1Kマンション家賃が7〜8ヶ月分消えた計算だ。生活の土台が深刻に揺らいでいる。軍資金と生活費を今すぐ完全に分離しろ。"
-800000,-700001,"プロのパーソナルトレーナー（月10万円クラス）を8ヶ月雇える金が飛んだ。体を鍛える投資まで失った週だ。せめて今週は食事と睡眠だけは守れ。"
-800000,-700001,"カイジの名言——「人生は一度きりだ。だからこそ、諦める前に全力を尽くせ。やり切った後悔と、やらなかった後悔は、天と地ほど違う」。やり切っているか？"
-800000,-700001,"日本人の平均年収（約430万円）の約2割近くを1週間で失った。5週続けたら年収が消える計算だ。今すぐ判断基準を見直さなければならない。"
-800000,-700001,"最高級の国産ウイスキー（山崎18年等）が約30本買えた金が消えた。熟成の時間が生む価値を失った。自分自身を熟成させる時間だけは、誰にも奪えない。"
-800000,-700001,"アカギはこう言った——「真の敗者とは、負けた者ではなく、負けから何も学ばずに同じ道を歩む者だ」。来週同じ道を歩むな。今週と違う答えを出せ。"
,-1000000,"日本人の平均年収（約430万円）の約4分の1以上を1週間で失った。多くの人が3ヶ月間必死に働いて稼ぐ金が、1週間で消えた。この重さから逃げるな。"
,-1000000,"カイジの名言——「100万円を失った人間が次にすべきことは、嘆くことでも逃げることでもない。なぜ失ったかを、冷静に、徹底的に分析することだ」。今すぐ始めろ。"
,-1000000,"国産新車（トヨタカローラ等）が現金一括で買えた金が消えた。移動の自由から物質的な豊かさまで、今週は全て失った。だが思考の自由だけは誰も奪えない。"
,-1000000,"アカギはこう言った——「100万円の負けは、弱い人間を壊し、強い人間を作る。今週のお前は壊れるか、作られるか。それだけだ」。作られる側に立て。"
,-1000000,"ビジネスクラスでヨーロッパ往復できた金が消えた。世界が舞台になるはずだった金を失った今週、足元の現実だけを見つめ直せ。逃げ場を探すな。"
,-1000000,"ロレックスのサブマリーナーが買えた金が飛んだ。本物を身につける夢が今週は完全に遠のいた。だがアカギはこう言った——「夢を持つ者は、必ずその夢に引き寄せられる。今夢を持っているか？」"
,-1000000,"都内の分譲マンション頭金（10〜30%）として使えた金が消えた。住む場所まで作れたはずの金だ。今週の判断のどこに致命的な誤りがあったか、一つに絞れ。"
,-1000000,"カイジの名言——「負け続ける者には理由がある。その理由を直視できる者だけが、次の勝ちへの扉を開ける。扉の前に立っているか？」"
,-1000000,"家族全員を海外旅行に連れて行ける金額を1週間で失った。大切な人との時間まで奪う損失だ。今後は生活と勝負の資金を完全に分け、生活防衛を最優先にしろ。"
,-1000000,"アカギはこう言った——「どんな深みにはまっても、這い上がった者だけが伝説になる。今お前は深みにいる。だからこそ、伝説になれる場所にいる」。這い上がれ。"
